id,LocationName,SupportName,VpnStatus,GameCount,PaymentCount,LicenseCount,StatusPoint,Type,CheckStatusLocation,CheckStatusWeb,CheckStatusCustomer,CheckStatusLiveChat,PerfectPoint,IconsLocation,ImageLocationPath
1,Equate Nicotine,Ban,false,1,1,1,true,1,false,false,false,false,false,1,MetusArcuAdipiscing.mov
2,Levitra,ketamine hydrochloride,true,2,2,2,false,2,false,false,false,true,true,2,IdSapien.mp3
3,L-Trans,Equisetum Formica,true,3,3,3,false,3,true,false,false,true,true,3,MaurisSit.avi
4,Clopidogrel,Multi-Vitamin Fluoride Drops,false,4,4,4,false,4,true,true,false,true,false,4,ViverraEget.tiff
5,Everyday Clean Dandruff,L OCCITANE SUBLIME BEAUTY BB MEDIUM SPF 30 Broad Spectrum Sunscreen,true,5,5,5,true,5,true,true,true,false,false,5,VehiculaConsequatMorbi.txt
6,Calcium carbonate,Bupropion Hydrochloride,true,6,6,6,false,6,false,false,true,true,false,6,SitAmetConsectetuer.mpeg
7,Trazodone Hydrochloride,Clenia,true,7,7,7,true,7,false,false,true,false,false,7,QuamTurpis.mp3
8,Pleo Poly T,Baby SensiGel Night Time Formula,true,8,8,8,true,8,false,false,true,false,true,8,VenenatisNon.ppt
9,Metoprolol Tartrate,Alcohol Prep Pads with Pain Relief,false,9,9,9,true,9,true,false,false,true,true,9,VariusNullaFacilisi.ppt
10,Levothyroxine sodium,cisatracurium besylate,true,10,10,10,true,10,false,false,true,false,true,10,JustoEtiamPretium.avi
11,good sense pain relief,White Hickory,true,11,11,11,false,11,true,true,true,true,true,11,Est.ppt
12,Sunmark Allergy Relief,Clario Foaming Alcohol Instant Hand Sanitizer,false,12,12,12,false,12,false,false,true,true,true,12,HendreritAt.xls
13,CVS daily moisturizing,Gabapentin,false,13,13,13,false,13,false,true,false,false,false,13,InQuis.mp3
14,PCXX ONE MINTE GEL LUSCIOUS LIME,Simvastatin,true,14,14,14,true,14,true,true,true,true,false,14,Lorem.avi
15,LIPODOX,Metformin Hydrochloride,false,15,15,15,true,15,true,false,true,false,false,15,PosuereCubilia.xls
16,Sulwhasoo Lumitouch,Clarant B3,false,16,16,16,true,16,true,true,false,false,false,16,MaurisVulputate.ppt
17,Isosorbide,equate Sugar Free Fiber Therapy Smooth Texture Orange Flavor,false,17,17,17,false,17,true,false,true,false,true,17,Nulla.xls
18,Pure Finish Mineral Powder Foundation SPF 20 Pure Finish 1,Metaxalone,false,18,18,18,true,18,true,true,false,true,false,18,ElitProinInterdum.avi
19,Istalol,Povidone Iodine Impregnated,true,19,19,19,false,19,true,false,true,false,false,19,TortorQuisTurpis.ppt
20,Cymbalta,PURE RED GINSENG CLEANSING,false,20,20,20,false,20,true,true,true,false,false,20,AliquetUltricesErat.doc
